piro	pirongia
hoko	hokona
pā	pāngia
unu	unumia
rori	roria
tute	tutea
whakawātea	whakawāteatia
whakamahi	whakamahia
tukutuku	tukutukua
hokohoko	hokohokona
punga	pungaa
kumu	kumua
wehewehe	wehewehea
whakamōhio	whakamōhiotia
whakataetae	whakataetaengia
tangi	tangihia
kai	kainga
popohe	pōhea
whakapoto	whakapotohia
ruaki	ruakina
kauhoe	kauhoetia
totoro	tōrona
kauwhau	kauwhautia
miraka	mirakatia
whakauru	whakaurua
wani	wania
rurerure	rurerurea
horo	horoa
hongi	hongia
whakaparu	whakaparua
kowhaki	kowhakina
kume	kumea
whakawhiti	whakawhitia
whakahorohoro	whakahorohorotia
pērā	pērātia
kōranga	kōrangatia
whanowhano	whanowhanoa
whakakakara	whakakakaratia
tinei	tineia
āpiti	āpitiria
tūpeke	tūpeketia
riri	riria
whakamānu	whakamānutia
pākaru	pākarua
whakatahuri	whakatahuringia
pūremu	pūremutia
tinihanga	tinihangatia
haka	hakaa
tānumi	tānumitia
mīharo	mīharotia
whakamahana	whakamahanatia
whakakino	whakakinotia
toutou	toutoua
tāke	tāketia
whītiki	whītikiria
whakangahoro	whakangahorotia
whakatangitangi	whakatangitangihia
whakawhirinaki	whakawhirinakitia
hura	hurahia
unu	unuhia
perehi	perehitia
āpuru	āpurua
ahu	ahuria
mārau	māraua
whatu	whaturia
hume	humea
apoapo	apoapohia
hinga	hingana
kōpaki	kōpakina
pātai	pātaia
heu	heua
heru	herua
whakaurunga	whakaurungatia
titi	titia
ākiri	ākiritia
tapa	tapaia
kōtui	kōtuia
whakaparahako	whakaparahakotia
tauaarai	tauaaraitia
tūwhiti	tūwhititia
manako	manakohia
tapatapa	tapatapaia
tauhere	tauherea
tāpuke	tāpuketia
whana	whanaa
pākawe	pākawetia
nuku	nukuhia
tatari	tāria
nēhi	nēhitia
rangirangi	rangirangia
totohe	tōhea
tari	taria
waikeri	waikeringia
rīpeka	rīpekatia
kōpake	kōpaketia
tītari	tītaria
karanga	karangahia
heke	hekea
whakamātau	whakamātauria
pānui	pānuitia
kihi	kihia
whakaae	whakaaetia
taupare	tauparea
kapo	kapohia
whakakapi	whakakapia
hirihiri	hirihiria
nao	naomia
puri	puritia
kōwhiri	kōwhiria
aro	arongia
whakamārama	whakamāramatia
hihira	hihiratia
kopi	kopia
kakau	kakauria
raho	rahoa
tohi	tohia
mahanga	mahangatia
whakarāwai	whakarāwaitia
rewherī	rewherītia
piupiu	piupiua
tunutunu	tunutunua
taunaha	taunahatia
parau	parautia
momoto	motokia
whāwhā	whāwhāria
kini	kinitia
whakangāwari	whakangāwarihia
whakareri	whakareria
auē	auētia
tae	taea
rapi	rapihia
kare	karea
wawata	wawatatia
wareware	warewaretia
tāwhiri	tāwhiritia
hahau	hahautia
rautao	rautaongia
paora	paoratia
whakatakitaki	whakatakitakina
apu	apuria
mui	muia
tātāwhi	tātāwhia
patu	patua
whakarāpopoto	whakarāpopotongia
rāhui	rāhuitia
ehu	ehua
tīhae	tīhaea
amuamu	amuamutia
ui	uia
apo	apohia
romi	romia
mihi	mihia
hīpoki	hīpokina
whakamāori	whakamāoritia
huhu	huhua
uruumu	uruumutia
tāpapa	tāpapatia
rāwhera	rāwheratia
unga	ungaa
ngaungau	ngaungaua
kati	katia
waipuke	waipuketia
whakakai	whakakairia
whakapai	whakapaia
tapa	tapahia
rohe	rohea
oka	okaina
tārona	tāronatia
amo	amohia
whakapaipai	whakapaipaitia
rere	rerengia
rarawhi	rarawhia
ruku	rukuhia
pōhēhē	pōhēhētia
whakatika	whakatikaia
whakahohori	whakahohoritia
oati	oatitia
whakarere	whakarērea
mātau	mātauria
ua	uaina
whakamau	whakamaua
tāpui	tāpuia
awhi	awhitia
āwhio	āwhiotia
tāwharau	tāwharautia
rarapi	rarapihia
whakaemi	whakaemihia
whakataratara	whakataratarahia
whakahāwea	whakahāweatia
whakamine	whakaminea
whakarapihi	whakarapihitia
whakaririki	whakaririkitia
taua	tauatia
tupoki	tupokina
whakapiata	whakapiatatia
hākere	hākerea
tītama	tītamatia
rotu	rotua
kote	kotehia
titiro	tirohia
whai	whaia
whakahoki	whakahokia
tāuwhi	tāuwhia
whakatūpato	whakatūpatoria
ukui	ukuia
heuheu	heuheutia
pāera	pāeratia
pakanga	pakangatia
whera	wherahia
kokopi	kopia
kakapi	kapia
takawiri	takawiritia
whakarārangi	whakarārangitia
whakamahara	whakamaharatia
poka	pokaia
whakangaro	whakangaromia
whakakorokoro	whakakorokorotia
kaumātua	kaumātuatia
pūawhe	pūawhea
whakatoi	whakatoitia
hāpai	hāpainga
whakatapu	whakatapuria
ngau	ngaua
whakaaro	whakaarotia
whakamihi	whakamihia
whakatikatika	whakatikatikaina
taumau	taumautia
tautohe	tautohetia
haere	haerea
taunga	taungatia
whakaene	whakaenetia
mākutu	mākuturia
poke	pokea
whetūrangi	whetūrangitia
koko	kokoa
tohatoha	tohatohaina
whakangaere	whakangaerea
whakahua	whakahuatia
whakariro	whakariroia
tungi	tungia
tuwha	tuwhaia
haupapa	haupapatia
whakahohoro	whakahohorotia
whaina	whainatia
whakawherū	whakawherūtia
tārai	tāraia
wero	werohia
whakamātautau	whakamātautauria
ripi	ripia
pōtae	pōtaea
tomo	tomokia
tāhae	tāhaetia
tuaki	tuakina
whakamataku	whakamatakuria
whakarewa	whakarewaia
whakamōkā	whakamōkātia
rawhi	rawhia
tātari	tātaritia
kōti	kōtia
rumaki	rumakina
tītore	tītorea
waea	waeatia
pare	parea
ātete	ātetetia
purūma	purūmatia
whakawehi	whakawehia
āmi	āmitia
whakataurite	whakatauritea
whakahoro	whakahoroa
paura	pauratia
mau	mauria
wai	waia
whānako	whānakohia
pana	panaa
uta	utaina
oro	orohia
mātaki	mātakina
tatā	tatāngia
whakatipu	whakatipuria
kape	kapea
karapoti	karapotia
whakaakakahu	whakaakakahuria
whakarongo	whakarongohia
kōmiri	kōmiria
pōpopo	pōpopotia
whakarawe	whakarawea
whakakikī	whakakikītia
huti	hutia
tīkoko	tīkokoa
rākei	rākeitia
arahi	arahina
whakakōpeke	whakakōpeketia
papare	parea
hī	hīa
whakamārie	whakamārietia
koa	koaina
whakairo	whakairohia
nukunuku	nukunukuhia
pēke	pēketia
urungi	urungitia
whiriwhiri	whiriwhiria
ūtonga	ūtongatia
tupehau	tupehaukia
tanu	tanumia
māharahara	māharaharatia
whakapakoko	whakapakokotia
inaki	inakitia
pere	perea
whiti	whitia
umere	umeretia
tuki	tukia
taiari	taiaritia
rau	raua
whakamāoa	whakamāoatia
pāhua	pāhuatia
whakaako	whakaakona
mōkete	mōketetia
tauapo	tauapohia
ruruku	rurukutia
whakanui	whakanuia
whakangau	whakangaua
ware	warea
iri	iria
peka	pekaina
huki	hukia
karawhiu	karawhiua
whāriki	whārikitia
hāhau	hāhautia
tua	tuaina
hari	haria
whakawhānau	whakawhānautia
hao	haoa
haehae	haehaea
tautohetohe	tautohetohetia
tūā	tūāina
pai	paingia
whati	whatiia
whakawiri	whakawiria
tānapu	tānaputia
kōnatu	kōnatua
hokomirimori	hokomirimoria
ngahu	ngahua
whakaara	whakaarahia
raupatu	raupatutia
whakaatu	whakaaturia
atawhai	atawhaitia
poro	poroa
huru	hurua
kā	kāngia
whakatū	whakatūria
whakakoromeke	whakakoromeketia
tia	tiaina
awhe	awhea
whāki	whākina
whakapā	whakapākia
waiata	waiatatia
whakakao	whakakaotia
papaki	pākia
tīkaro	tīkarohia
whakakāhore	whakakāhoretia
ato	atohia
purei	pureitia
whakaari	whakaaria
natu	natua
pō	pōngia
tohu	tohua
mitimiti	mitimitia
miro	miroa
pao	paoa
kohikohi	kohikohia
whakamanawa	whakamanawatia
whakahere	whakaherea
tou	toua
whakaatamira	whakaatamiratia
mutumutu	mutumutua
tāwhiu	tāwhiua
whakakahaki	whakakahakitia
rara	raraa
kari	karia
paro	paroa
whakatākaro	whakatākarotia
ringi	ringihia
whakaingoa	whakaingoatia
manaaki	manaakitia
whakamāmā	whakamāmātia
kōwhiti	kōwhitihia
whakakopi	whakakopitia
kuku	kukua
huaki	huakina
tātua	tātuatia
poipoi	poipoia
ropi	ropia
nanati	nātia
whakaoho	whakaohotia
whakatōpū	whakatōpūtia
tūtui	tūtuia
waru	waruhia
mimi	mīa
numu	numua
tauwehe	tauwehea
paihere	paiheretia
wawae	wawaea
whakapōhēhē	whakapōhēhēngia
whaiere	whaieretia
tapiki	tapikitia
wetewete	wetewetekia
whakakite	whakakitea
riringi	riringihia
whakaranu	whakaranua
pūkai	pūkaitia
ono	onokia
tae	tāea
whakaheke	whakahekea
whakapuaki	whakapuakina
runa	runaa
rahu	rahua
tono	tonoa
whakaipoipo	whakaipoipotia
pēnā	pēnātia
whakakore	whakakoretia
whāngai	whāngaia
kuhu	kuhua
hiwi	hiwia
whakahemo	whakahemoa
pupuhi	pūhia
tuku	tukua
hora	horahia
whakarite	whakaritea
tōhi	tōhitia
āwhina	āwhinatia
whakananu	whakananua
mōhio	mōhiotia
tāpae	tāpaea
pēnei	pēneitia
noa	noatia
whakatupu	whakatupuria
pine	pinea
tarai	taraia
hua	huaina
tāwhi	tāwhia
maminga	mamingatia
aukaha	aukahatia
whakarere	whakarerea
rūrū	rūrūhia
whai	whāia
pupuru	purutia
apiti	apitiria
herehere	hereherea
miti	mitia
whata	whataa
tiro	tirohia
whakaahuru	whakaahurutia
iheuheu	iheuheua
mukumuku	mukumukua
whawhai	whawhaitia
whakawhiwhi	whakawhiwhia
numi	numia
kōhuru	kōhurutia
whakaiti	whakaitia
pōrangi	pōrangitia
korou	koroutia
tiu	tiua
whakakāniwha	whakakāniwhatia
whakatakoto	whakatakotoria
taki	takina
kākahu	kākahuria
whakamārōrō	whakamārōrōtia
kukume	kūmea
hunu	hunua
komo	komotia
titoko	titokona
aruaru	aruarumia
ako	akona
pū	pūia
whakapono	whakaponohia
whakaako	whakaakoria
whakakoi	whakakoia
tau	tauria
puta	putaina
mōunu	mōunutia
huhuti	hūtia
pōwhiri	pōwhiritia
wāhi	wāhia
tuitui	tuituia
kōhure	kōhurea
ao	aohia
hoki	hokia
meke	mekea
tupu	tupuria
whakakaha	whakakahangia
whakatahe	whakatahea
whakamīharo	whakamīharotia
whakahau	whakahaua
whakawhiu	whakawhiua
hika	hikaia
tīmata	tīmataria
māunu	māunutia
taupoki	taupokina
whawhao	whawhao
wewete	werekia
whakahanumi	whakahanumitia
whaiwhai	whaiwhaia
ara	arahia
toro	torona
pūāwai	pūāwaitia
here	herea
tahi	tahia
kuru	kurua
turuki	turukitia
mahara	maharatia
kō	kōia
pou	poua
whakawāwā	whakawāwātia
hakuhaku	hakuhakua
whakangahau	whakangahautia
pōkai	pōkaia
rūri	rūritia
rēhita	rēhitatia
tūmanako	tūmanakohia
āmine	āminengia
rārangi	rārangitia
whakatata	whakatatangia
aweke	aweketia
tohe	tohea
kaupare	kauparea
weku	wekua
whakatau	whakatauria
whakaeke	whakaekea
memeke	memekehia
kakaro	kakarohia
kōpenu	kōpenutia
rore	rorea
whakahāwe	whakahāwea
whakaahu	whakaahutia
whakakōrua	whakakōruatia
puare	puaretia
mania	maniaa
whatiwhati	whatiwhatia
āki	ākina
pīangi	pīangitia
wāwāhi	wāwāhia
nekeneke	nekenekehia
mekemeke	mekemekehia
kite	kitea
takoto	takotoria
kuti	kutia
tātāmi	tātāmia
tuketuke	tuketukea
mono	monokia
ketu	ketua
oma	omakia
hori	horia
koara	koaratia
kaiponu	kaiponuhia
taka	takaina
neke	nekehia
rehu	rehua
whakatanuku	whakatanukutia
ngaro	ngaromia
rutu	rutua
rapa	rapangia
tamumu	tamumutia
tāpāpā	tāpāpātia
rāpoi	rāpoia
whakaahua	whakaahuatia
raka	rakatia
rīngi	rīngihia
waimeha	waimehatia
whakahaere	whakahaerea
opa	opaina
pani	pania
taiapu	taiaputia
hoe	hoea
tīhore	tīhorea
whakatūtehu	whakatūtehutia
waha	wahaa
whakahinga	whakahingaia
whakaroa	whakaroatia
ranga	rangaa
epa	epaina
kaingākau	kaingākautia
pēhi	pēhia
ketuketu	ketuketua
mea	meatia
karakia	karakiatia
pehipehi	pehipehia
whakautu	whakautua
parakitihi	parakitihitia
mapu	mapua
kōrero	kōrerotia
mahimahi	mahimahia
hopu	hopukia
tāmau	tāmautia
ota	otaina
pupuri	puritia
uku	ukuia
inu	inumia
hāwhe	hāwhetia
kimi	kimihia
whakanoa	whakanoatia
ihiihi	ihiihia
tipu	tipua
aroha	arohaina
tūtaki	tūtakina
tāhawahawa	tāhawahawatia
tiriwā	tiriwātia
patō	patōhia
whakaea	whakaeatia
whakaipo	whakaipotia
pāike	pāikea
whiri	whiria
pēhea	pēheatia
whakamamae	whakamamaetia
tautoko	tautokona
takakino	takakinotia
whakatō	whakatōkia
tōkari	tōkaritia
utu	utua
whakamoe	whakamoea
kōpiro	kōpiroa
tohu	tohuria
tāwhio	tāwhiotia
whāwhāi	whāwhāitia
raweke	raweketia
waiho	waihotia
hua	huaia
pona	ponaia
kāwiri	kāwiritia
poroporo	poroporotia
hahu	hahua
rui	ruia
kowhete	kowhetetia
tiki	tīkina
whakatina	whakatinaia
tiriwa	tiriwatia
kāhaki	kāhakina
whakawhāiti	whakawhāititia
panipani	panipania
whakapiri	whakapiria
pīkau	pīkautia
muimui	muimuia
tūhono	tūhonoa
kake	kakea
whakainu	whakainumia
whakarato	whakaratohia
akiaki	akiakina
ahuahu	ahuahungia
ranu	ranua
rīhi	rīhitia
whakamātaotao	whakamātaotaoria
pākarukaru	pākarukarua
tiki	tikina
wepu	wepua
tākaro	tākarohia
pāuna	pāunatia
kōpare	kōparea
taraiwa	taraiwatia
hou	houhia
niko	nikoa
whakamate	whakamatea
pei	peia
tāmaru	tāmarutia
whakaputa	whakaputaina
tahu	tahuna
tatau	tatauria
whakapuhi	whakapuhia
tupua	tupuatia
nati	natia
whiu	whiua
narunga	narungatia
pōuto	pōutokia
tutu	tutua
hane	hanea
tūkino	tūkinotia
muku	mukua
tui	tuia
piko	pikoa
whakapakeke	whakapakeketia
piki	pikitia
rahoraho	rahorahoa
whakapae	whakapaea
whakanoho	whakanohoia
hūpeke	hūpeketia
pae	paea
nanao	nanaomia
riri	riria
rehe	rehea
uiui	uiuia
kopani	kopania
whakamuri	whakamuria
popoki	pōkia
kāpui	kāpuia
kawe	kawea
tango	tangohia
hanga	hangaa
ngaki	ngakia
tope	topea
kōpani	kōpania
tāpuni	tāpunia
timere	timerea
tohu	tohungia
moe	moea
tīwara	tīwarahia
tao	taona
maro	marohia
ārai	āraia
mātakitaki	mātakitakina
tākiri	tākiritia
whakaero	whakaerotia
ruke	rukehia
ngote	ngotea
ko	koia
awhina	awhinatia
pati	patia
tuhituhi	tuhituhia
minita	minitatia
hongihongi	hongihongia
mate	matea
kiki	kikia
tupeke	tupeketia
hāmene	hāmenetia
muna	munaia
whakapuhari	whakapuharia
whakapapa	whakapapatia
tū	tūria
momi	momia
noho	nohoia
wehe	wehea
whakapua	whakapuatia
pīnohi	pīnohitia
parai	paraitia
whakatairanga	whakatairangatia
whakatiraha	whakatirahatia
ā	āia
mākiri	mākirihia
kōrori	kōroria
kāwhaki	kāwhakina
tāpiri	tāpiritia
