(('low', 'back', 'unround', 'long'),)	ia	4	0.25
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	ria	21	0.23809523809523808
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	ngia	9	0.1111111111111111
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	24	0.08333333333333333
(('low', 'back', 'unround', 'long'), ('high', 'front', 'unround', 'short'))	na	5	0.2
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	na	10	0.2
(('low', 'back', 'unround', 'long'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	7	0.7142857142857143
(('low', 'back', 'unround', 'long'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	na	19	0.10526315789473684
(('low', 'back', 'unround', 'long'), ('high', 'front', 'unround', 'short'))	tia	5	0.2
(('low', 'back', 'unround', 'long'), ('high', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	ngia	2	0.5
(('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	hia	19	0.5263157894736842
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	9	0.4444444444444444
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	ria	2	0.5
(('low', 'back', 'unround', 'long'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	ria	7	0.14285714285714285
(('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	hia	3	0.3333333333333333
(('low', 'back', 'unround', 'long'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	a	3	0.3333333333333333
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	hia	19	0.05263157894736842
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	na	13	0.23076923076923078
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	na	12	0.3333333333333333
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	12	0.4166666666666667
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	na	12	0.16666666666666666
(('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	ngia	19	0.05263157894736842
(('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'))	ina	2	0.5
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	mia	21	0.09523809523809523
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	mia	9	0.1111111111111111
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	12	0.16666666666666666
(('low', 'back', 'unround', 'long'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	3	0.6666666666666666
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'long'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	3	1.0
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	tia	2	1.0
(('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	4	0.5
(('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	14	1.0
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	5	0.8
(('low', 'back', 'unround', 'long'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'long'), ('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	tia	2	1.0
(('mid', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	9	1.0
(('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	12	0.6666666666666666
(('mid', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	ina	4	0.5
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	3	1.0
(('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	2	0.5
(('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	4	0.5
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	4	0.5
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	10	0.5
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	21	0.5714285714285714
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	a	19	0.631578947368421
(('low', 'back', 'unround', 'long'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	3	0.3333333333333333
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	9	0.2222222222222222
(('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	a	19	0.2631578947368421
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	nga	12	0.08333333333333333
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	24	0.6666666666666666
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	3	0.3333333333333333
(('low', 'back', 'unround', 'long'), ('mid', 'front', 'unround', 'short'))	tia	2	1.0
(('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	5	0.4
(('mid', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	2	0.5
(('high', 'front', 'unround', 'long'),)	a	2	1.0
(('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('high', 'front', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	4	0.5
(('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	3	1.0
(('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	3	0.6666666666666666
(('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	ia	3	0.3333333333333333
(('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	19	0.15789473684210525
(('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	ia	6	0.16666666666666666
(('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	na	3	0.3333333333333333
(('high', 'front', 'unround', 'long'), ('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'))	na	3	0.3333333333333333
(('high', 'front', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	2	1.0
(('high', 'front', 'unround', 'long'), ('high', 'front', 'unround', 'short'))	tia	3	0.6666666666666666
(('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	4	1.0
(('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	19	0.6842105263157895
(('mid', 'back', 'round', 'short'), ('mid', 'front', 'unround', 'short'))	a	11	0.9090909090909091
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('high', 'central', 'round', 'short'))	tia	2	1.0
(('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	10	1.0
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	na	18	0.1111111111111111
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	na	3	0.6666666666666666
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	1	1.0
(('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	4	0.75
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	a	18	0.3333333333333333
(('mid', 'back', 'round', 'short'), ('high', 'central', 'round', 'short'))	kia	8	0.125
(('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'))	hia	9	0.1111111111111111
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	mia	18	0.05555555555555555
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	2	1.0
(('mid', 'back', 'round', 'short'), ('high', 'central', 'round', 'short'))	hia	8	0.25
(('mid', 'back', 'round', 'short'), ('high', 'central', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('high', 'central', 'round', 'short'))	a	2	1.0
(('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'))	ia	14	0.2857142857142857
(('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'))	ina	14	0.35714285714285715
(('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	na	5	1.0
(('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	a	22	0.7727272727272727
(('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	16	0.875
(('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	7	1.0
(('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'))	a	6	0.8333333333333334
(('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'))	a	14	0.2857142857142857
(('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	a	8	0.75
(('high', 'central', 'round', 'long'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	2	1.0
(('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'))	hia	14	0.07142857142857142
(('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'))	hia	16	0.0625
(('high', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	1	1.0
(('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	2	0.5
(('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	1	1.0
(('high', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'))	mia	5	0.2
(('low', 'back', 'unround', 'long'),)	ngia	4	0.75
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	nga	24	0.041666666666666664
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'), ('high', 'central', 'round', 'short'))	hia	1	1.0
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	ria	10	0.3
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	hia	3	0.6666666666666666
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	ria	4	0.5
(('low', 'back', 'unround', 'long'), ('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	8	0.5
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	5	0.4
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	hia	6	0.16666666666666666
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	7	0.7142857142857143
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	4	0.5
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	ina	19	0.10526315789473684
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('mid', 'front', 'unround', 'short'))	tia	2	1.0
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'))	tia	2	1.0
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	ria	9	0.1111111111111111
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'long'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	3	0.6666666666666666
(('mid', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	2	1.0
(('mid', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	2	0.5
(('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	hia	19	0.10526315789473684
(('high', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	2	1.0
(('mid', 'back', 'round', 'short'),)	ia	1	1.0
(('mid', 'back', 'round', 'long'),)	ia	3	0.3333333333333333
(('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'))	ina	9	0.4444444444444444
(('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	6	0.5
(('mid', 'back', 'round', 'long'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'long'), ('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'))	tia	2	0.5
(('mid', 'back', 'round', 'long'), ('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'))	a	2	0.5
(('mid', 'back', 'round', 'long'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	tia	2	1.0
(('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'long'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	6	0.5
(('mid', 'back', 'round', 'long'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	6	0.3333333333333333
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	tia	18	0.1111111111111111
(('mid', 'back', 'round', 'short'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	a	2	1.0
(('mid', 'back', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	1	1.0
(('mid', 'back', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	3	0.3333333333333333
(('mid', 'back', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	na	6	0.16666666666666666
(('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	3	0.3333333333333333
(('mid', 'back', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	6	0.3333333333333333
(('mid', 'back', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	3	0.6666666666666666
(('mid', 'back', 'round', 'long'), ('mid', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'long'), ('mid', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'long'), ('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	a	2	0.5
(('mid', 'back', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'long'), ('mid', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'long'), ('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	1	1.0
(('mid', 'back', 'round', 'short'), ('mid', 'front', 'unround', 'short'))	hia	11	0.09090909090909091
(('mid', 'back', 'round', 'long'), ('high', 'front', 'unround', 'short'))	a	3	0.3333333333333333
(('mid', 'back', 'round', 'long'), ('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	1	1.0
(('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	na	3	0.3333333333333333
(('mid', 'back', 'round', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'long'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	hia	6	0.16666666666666666
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	6	0.6666666666666666
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	2	1.0
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	10	0.7
(('low', 'back', 'unround', 'long'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	hia	7	0.14285714285714285
(('low', 'back', 'unround', 'long'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	ria	3	0.3333333333333333
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	a	5	0.2
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	10	0.2
(('low', 'back', 'unround', 'long'), ('mid', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	3	1.0
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	na	1	1.0
(('low', 'back', 'unround', 'long'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	tia	3	0.3333333333333333
(('mid', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	4	0.25
(('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	hia	5	0.4
(('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	hia	1	1.0
(('high', 'front', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	tia	2	1.0
(('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	a	6	0.5
(('mid', 'back', 'round', 'long'), ('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	tia	2	0.5
(('mid', 'back', 'round', 'long'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	kia	18	0.2222222222222222
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	mia	3	0.3333333333333333
(('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	mia	19	0.05263157894736842
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'))	tia	5	1.0
(('mid', 'front', 'unround', 'long'), ('high', 'front', 'unround', 'short'))	tia	2	0.5
(('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	hia	12	0.08333333333333333
(('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'))	tia	9	0.1111111111111111
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	ia	18	0.05555555555555555
(('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	1	1.0
(('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	hia	22	0.09090909090909091
(('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	hia	8	0.125
(('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	3	0.3333333333333333
