(('low', 'back', 'unround', 'long'),)	ia	4	0.25
(('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'))	kia	9	0.1111111111111111
(('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'))	tia	4	0.25
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	hia	18	0.1111111111111111
(('low', 'back', 'unround', 'long'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'))	tia	3	1.0
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	ngia	24	0.041666666666666664
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	2	1.0
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'long'), ('high', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'long'), ('high', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	2	0.5
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	19	0.10526315789473684
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	1	1.0
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	3	0.6666666666666666
(('low', 'back', 'unround', 'long'), ('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'))	tia	8	0.5
(('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'))	tia	2	0.5
(('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	tia	2	0.5
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	13	0.23076923076923078
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	2	1.0
(('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'long'))	hia	1	1.0
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	2	1.0
(('mid', 'front', 'unround', 'long'), ('mid', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('mid', 'front', 'unround', 'long'), ('high', 'front', 'unround', 'short'))	a	2	0.5
(('mid', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	1	1.0
(('mid', 'front', 'unround', 'long'), ('mid', 'front', 'unround', 'short'))	tia	1	1.0
(('mid', 'front', 'unround', 'long'), ('low', 'back', 'unround', 'long'))	tia	2	1.0
(('mid', 'front', 'unround', 'long'), ('mid', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	1	1.0
(('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	1	1.0
(('high', 'front', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	2	0.5
(('high', 'front', 'unround', 'long'), ('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'))	tia	3	0.6666666666666666
(('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	ngia	6	0.16666666666666666
(('high', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	5	0.8
(('high', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	1	1.0
(('mid', 'back', 'round', 'long'),)	ngia	3	0.3333333333333333
(('mid', 'back', 'round', 'long'), ('mid', 'front', 'unround', 'long'), ('mid', 'front', 'unround', 'long'))	tia	1	1.0
(('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'))	ia	9	0.2222222222222222
(('mid', 'back', 'round', 'long'), ('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	tia	3	0.3333333333333333
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	1	1.0
(('mid', 'back', 'round', 'long'), ('high', 'front', 'unround', 'short'))	tia	3	0.6666666666666666
(('mid', 'back', 'round', 'short'), ('high', 'central', 'round', 'short'))	a	8	0.5
(('mid', 'back', 'round', 'long'), ('high', 'central', 'round', 'short'), ('mid', 'back', 'round', 'short'))	kia	1	1.0
(('high', 'central', 'round', 'long'),)	ia	2	0.5
(('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	1	1.0
(('high', 'central', 'round', 'long'), ('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	1	1.0
(('high', 'central', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	1	1.0
(('high', 'central', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	2	0.5
(('high', 'central', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	1	1.0
(('high', 'central', 'round', 'long'), ('mid', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	1	1.0
(('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'))	tia	16	0.0625
(('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'))	tia	2	1.0
(('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'long'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	a	3	0.6666666666666666
(('low', 'back', 'unround', 'long'), ('mid', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	14	0.6428571428571429
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	ngia	19	0.05263157894736842
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	hia	24	0.08333333333333333
(('low', 'back', 'unround', 'long'), ('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	1	1.0
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	12	0.16666666666666666
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	hia	13	0.07692307692307693
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	13	0.46153846153846156
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	ngia	2	0.5
(('mid', 'front', 'unround', 'long'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	ngia	12	0.08333333333333333
(('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	1	1.0
(('high', 'front', 'unround', 'long'), ('high', 'front', 'unround', 'short'))	hia	3	0.3333333333333333
(('high', 'front', 'unround', 'long'), ('mid', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	hia	3	0.3333333333333333
(('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'))	tia	1	1.0
(('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'))	hia	6	0.16666666666666666
(('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'))	a	2	1.0
(('high', 'central', 'round', 'long'), ('high', 'front', 'unround', 'short'))	tia	1	1.0
(('high', 'central', 'round', 'long'), ('high', 'central', 'round', 'long'))	hia	1	1.0
(('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	na	21	0.047619047619047616
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	10	0.1
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	tia	6	0.5
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	a	12	0.25
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	ria	14	0.21428571428571427
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	hia	1	1.0
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	10	0.2
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	na	24	0.041666666666666664
(('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	ria	2	0.5
(('low', 'back', 'unround', 'long'), ('high', 'front', 'unround', 'short'))	a	5	0.6
(('low', 'back', 'unround', 'long'), ('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	1	1.0
(('low', 'back', 'unround', 'long'), ('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	a	1	1.0
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	ia	19	0.05263157894736842
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	3	0.3333333333333333
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'long'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	ia	12	0.08333333333333333
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	3	0.6666666666666666
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	2	0.5
(('low', 'back', 'unround', 'long'), ('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'long'), ('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	ngia	6	0.16666666666666666
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'long'), ('high', 'front', 'unround', 'short'))	a	3	0.6666666666666666
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	hia	2	0.5
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	2	1.0
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'))	na	1	1.0
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'), ('mid', 'front', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	na	1	1.0
(('low', 'back', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'long'), ('high', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'))	a	1	1.0
(('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	ina	3	0.3333333333333333
(('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	na	2	0.5
(('high', 'front', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	1	1.0
(('high', 'front', 'unround', 'long'), ('mid', 'back', 'round', 'short'), ('mid', 'front', 'unround', 'short'))	a	2	1.0
(('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	na	19	0.05263157894736842
(('high', 'front', 'unround', 'long'), ('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	a	1	1.0
(('high', 'front', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	ria	4	0.25
(('high', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	1	1.0
(('high', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	1	1.0
(('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	2	1.0
(('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	hia	6	0.16666666666666666
(('high', 'front', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	2	0.5
(('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	na	1	1.0
(('high', 'front', 'unround', 'long'), ('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	na	1	1.0
(('high', 'front', 'unround', 'long'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	hia	4	0.25
(('mid', 'back', 'round', 'long'),)	kia	3	0.3333333333333333
(('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'))	ina	1	1.0
(('mid', 'back', 'round', 'short'), ('high', 'central', 'round', 'short'))	ngia	8	0.125
(('high', 'central', 'round', 'long'),)	ria	2	0.5
(('high', 'central', 'round', 'long'), ('low', 'back', 'unround', 'long'))	ina	1	1.0
(('high', 'central', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	1	1.0
(('high', 'central', 'round', 'long'), ('mid', 'back', 'round', 'short'), ('mid', 'back', 'round', 'short'))	a	1	1.0
(('high', 'central', 'round', 'long'), ('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	tia	1	1.0
(('high', 'central', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	hia	1	1.0
(('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	kia	1	1.0
(('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	2	1.0
(('high', 'central', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('high', 'front', 'unround', 'short'))	na	1	1.0
(('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	ria	22	0.045454545454545456
(('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'))	tia	3	0.6666666666666666
(('high', 'central', 'round', 'long'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	na	2	0.5
(('high', 'central', 'round', 'long'), ('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	1	1.0
(('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('high', 'central', 'round', 'long'), ('high', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	tia	1	1.0
(('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	ia	22	0.045454545454545456
(('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'), ('high', 'front', 'unround', 'short'))	a	3	0.3333333333333333
(('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	mia	22	0.045454545454545456
(('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	tia	8	0.125
(('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'), ('mid', 'back', 'round', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	ngia	1	1.0
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('mid', 'front', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	2	0.5
(('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	hia	21	0.047619047619047616
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	a	1	1.0
(('mid', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	hia	2	0.5
(('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	kia	12	0.08333333333333333
(('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	kina	12	0.08333333333333333
(('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	kia	5	0.2
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	tia	6	0.5
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'))	a	12	0.5833333333333334
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	ria	12	0.08333333333333333
(('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'long'), ('mid', 'front', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'))	tia	8	0.25
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	tia	14	0.07142857142857142
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('low', 'back', 'unround', 'short'))	tia	1	1.0
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'), ('high', 'central', 'round', 'short'))	tia	2	1.0
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'central', 'round', 'short'))	ria	1	1.0
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'back', 'round', 'short'))	na	6	0.16666666666666666
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	hia	12	0.08333333333333333
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('high', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	2	1.0
(('low', 'back', 'unround', 'short'), ('low', 'back', 'unround', 'short'), ('mid', 'front', 'unround', 'short'), ('low', 'back', 'unround', 'short'))	tia	3	0.3333333333333333
